ProductId,product_name_inferred
B0001ES9F8,Coffee
B0007A0AQM,Treats
B0007A0AQW,Treats
B0009F3POY,Tea
B0009YJ4CW,Treats
B000BRR8VQ,Treats
B000CNB4LE,Coconut
B000DZFMEQ,Bread
B000ENUC3S,Bar
B000EVOSE4,Candy
B000FFIL92,Tea
B000FMZO8G,Chips
B000FMZO90,Chips
B000G6O2QG,Chips
B000GAT6NG,Oil
B000H0ZJHW,Treats
B000H0ZJIG,Treats
B000H1217M,Treats
B000H7LVKY,Are
B000HDI5O8,Pumpkin
B000HDK0D2,Treats
B000HDK0DC,Candy
B000KV61FC,Treats
B000KV7ZGQ,Treats
B000NBQUNW,Cholesterol
B000NMJWZO,Mix
B000OQ2DJQ,Calm
B000OQ2DL4,Calm
B000PDWBKO,Popcorn
B000PDY3HI,Popcorn
B000PDY3P0,Popcorn
B000QSON4K,Dog
B000TQEWM2,Coffee
B000UBD88A,Coffee
B000UUWECC,Coconut
B000V17MLS,Curry
B000VK08OC,Honey
B000VK8AVK,Chips
B000WVY4PE,Calm
B000WVYB8Y,Calm
B00125ZCWI,Calm
B0012NUVN0,Treats
B0012V1G0Y,Treats
B0012XBD7I,Chips
B0013A0QXC,Coffee
B0013NUGDE,Chips
B0018KLPFK,Bar
B0018KR8V0,Bar
B0019QT66I,Calm
B001AS1A4Q,Energy
B001BCVY4W,Cat
B001BCVY9W,Cat
B001BCXTGS,Cat
B001BDDT8K,Cat
B001BDDTB2,Cat
B001BS4G6O,Dog
B001D09KAM,Bar
B001D0DMME,Bar
B001D0DMMY,Bar
B001D0IZBM,Coffee
B001E0TBA0,Calm
B001E18K8S,Calm
B001E8DHPW,Oil
B001ELL60W,Mix
B001EO5Q64,Oil
B001EO5U3I,Oatmeal
B001EO5Y8Y,Coffee
B001EQ55RW,Almonds
B001EQ55ZO,Pepper
B001EYUE5M,Coffee
B001LG940E,Drink
B001LG945O,Juice
B001LGGH40,Juice
B001LGGH54,Drink
B001LQCOIS,Baby
B001M2BM4I,Coffee
B001P3PR54,Dog
B001RVFDOO,Chips
B001RVFEP2,Chips
B001RVFERK,Chips
B001SAXPEO,Chips
B001VJ0B0I,Dog
B0026KNQSA,Chips
B0026KPDG8,Chips
B0026RQTGE,Dog
B0029XDZKI,Coffee
B0029XLH4Y,Coffee
B0029ZAOW8,Energy
B002AQ0OL2,Coffee
B002AQ0OW6,Coffee
B002GJ9JWS,Peanut
B002GJ9JY6,Peanut
B002GKEK7G,Coffee
B002IEVJRY,Coffee
B002IEZJMA,Coffee
B002LANN56,Dog
B002LN1ME2,Calm
B002NHYQAS,Chocolate
B002QWHJOU,Dog
B002QWP89S,Dog
B002QWP8H0,Dog
B002YJ0118,Popcorn
B002ZX1U9A,Coffee
B00305L330,Coffee
B0032CB15Q,Coffee
B0032CJPOK,Formula
B0034EDLS2,Are
B0034EDM2W,Are
B0034EDMCW,Are
B0034EDMLI,Are
B0034EFIYC,Are
B003B3OOPA,Oil
B003CIBPN8,Coconut
B003D4F1QS,Tea
B003D4IYSU,Tea
B003D4MW38,Tea
B003D4MYLS,Tea
B003E728CE,Dog
B003EM7J9Q,Microwave
B003EML8PM,Microwave
B003FDC2I2,Chocolate
B003FDG4K4,Chocolate
B003GTR8IO,Coffee
B003JA5KKS,Coffee
B003QDRJXY,Coconut
B003QNJYXM,Coffee
B003QNLUTI,Energy
B003SSWCJI,Calm
B003TC7WN4,Coffee
B003TNANSO,Bar
B003VXFK44,Coffee
B003VXHGDM,Coffee
B003VXHGE6,Coffee
B003VXHGPK,Coffee
B003VXL0V6,Coffee
B003XDH6M6,Licorice
B003Z6W32E,Coffee
B003Z6ZGZK,Coffee
B003Z6ZGZU,Coffee
B0041NYV8E,Ginger
B00438XVGU,Coffee
B004391DK0,Mix
B00451WLYI,Coffee
B0045XE32E,Treats
B00474CSVE,Coffee
B004779XNW,Coffee
B0047RQ9M0,Coffee
B0049ULB78,Coffee
B004BKLHOS,Crackers
B004CLCEDE,Noodles
B004E4CCSQ,Water
B004E4EBMG,Water
B004EAGP74,Oil
B004FEN3GK,Crackers
B004FGWU9O,Coffee
B004GW6O9E,Bar
B004JGQ15E,Popcorn
B004JRKEH4,Sauce
B004MO6NI8,Drink
B004OAZ36I,Coffee
B004P4POZ8,Peanut
B004SRFYMK,Coconut
B004SRH2B6,Coconut
B004TJF3BE,Cup
B004TPKAN4,Cookies
B004U43ZO0,Chocolate
B004U49QU2,Cookies
B004WTHCO2,Baby
B004YV80O4,Cheese
B004YV80OE,Cheese
B004ZIER34,Coffee
B0051COPH6,Are
B005A1LINC,Drink
B005A1LJ04,Margarita
B005BRHVD6,Energy
B005HG9ERW,Water
B005HG9ESG,Water
B005HG9ET0,Water
