ProductId,product_name_inferred
B001RVFDOO,Popchips
B005K4Q1VI,Grove Square Hot Chocolate
B004391DK0,Bisquick Gluten Free Mix
B001LG945O,Switch Orange Tangerine
B003VXFK44,Keurig coffee pods
B006N3IG4K,Keurig coffee pods
B003EML8PM,microwave pork rinds
B0045XE32E,Newman's Own Dog Treats
B007TJGZ54,Green Mountain Breakfast Blend K-Cups
B001LGGH40,Switch Sparkling Juice
B008ZRKZSM,pb2 powdered peanut butter
B001BDDTB2,Petite Cuisine Cat Food
B002QWP89S,Greenies
B000KV61FC,tug-a-jug
B004ZIER34,Puroast Low Acid Coffee
B0013NUGDE,Popchips
B000PDY3P0,Great Northern Popcorn
B000DZFMEQ,Pamela's Bread Mix
B007M83302,Popchips
B0062A87HA,canned pumpkin
B004CLCEDE,Shirataki noodles
B002NHYQAS,Newman's Own Organic Dark Chocolate Bar
B001EQ55RW,Emerald Cocoa Roast Almonds
B0041NYV8E,Ginger Lemon Beverage Mix
B002GJ9JWS,pb2 powdered peanut butter
B004SRH2B6,Zico Coconut Water
B006H34CUS,Quaker Banana Nut Bread Bar
B0012XBD7I,Kettle Chips
B000EVOSE4,Haribo Gold-Bears
B003QNJYXM,5 Hour Energy
B002IEZJMA,illy issimo caffe coffee drink
B001EQ55ZO,Emerald Sea Salt and Pepper Cashews
B0007A0AQW,Zuke's Training Treats
B003EM7J9Q,microwave pork rinds
B0018KR8V0,Larabar
B007I7Z3Z0,Lipton To Go Stix Green Tea
B004JRKEH4,Taco Bell Chipotle Sauce
B0026RQTGE,Greenies
B004MO6NI8,No Fear Energy Drink
B0049ULB78,Green Mountain Dark Magic Extra Bold
B001LG940E,Switch Black Cherry Soda
B003TNANSO,Kind Protein Bars
B007TGDXNO,San Francisco Bay coffee k-cups
B005ZBZLT4,San Francisco Bay Coffee Fog Chaser K-Cups
B002LANN56,
B004YV80O4,Velveeta Cheesy Skillets Dinner Kit
B004YV80OE,Velveeta Cheesy Skillets Dinner Kit
B004GW6O9E,Larabar
B007TJGY46,Jet Fuel Coffee
B007PA30ZU,Green Mountain Dark Magic Extra Bold
B00438XVGU,Starbucks Via Instant Coffee
B002YJ0118,Great Northern Popcorn
B001BCVY9W,Petite Cuisine Cat Food
B005K4Q37A,Grove Square Hazelnut Cappuccino K-Cups
B005VOONKI,Marley Coffee One Love Pods
B0090X8IPM,Starbucks Natural Fusions Vanilla Coffee
B003E728CE,Greenies Pill Pockets
B005VOOM4A,Marley Coffee One Love Pods
B006Q820X0,Brooklyn Bean Cyclone Dark Roast K-Cups
B001BCXTGS,Petite Cuisine Cat Food
B0047RQ9M0,Green Mountain Breakfast Blend K-Cups
B003GTR8IO,Starbucks Natural Fusions Vanilla Coffee
B0007A0AQM,Zuke's Training Treats
B003D4F1QS,black tea
B001D0IZBM,Emeril's Big Easy Bold Coffee
B005VOOM2W,Marley Coffee One Love Pods
B002AQ0OL2,Timothy's Breakfast Blend Coffee K-Cups
B000GAT6NG,Nutiva Coconut Oil
B0019QT66I,Natural Calm Magnesium Drink
B005VOONLW,Marley Coffee One Love Pods
B005VOOKS8,Marley Coffee One Love Pods
B0001ES9F8,Senseo coffee pods
B0012NUVN0,Everlasting Treat Ball
B004U49QU2,Chips Ahoy! Chewy Gooey Megafudge Cookies
B008GRONV6,greenies pill pockets
B007Y59HVM,San Francisco Bay Coffee Fog Chaser K-Cups
B0009F3POY,Lactation tea
B008RWUKXK,Kind Granola Oat Clusters
B004U43ZO0,Choco Fudge Cookies
B001BCVY4W,Petite Cuisine Cat Food
B002LN1ME2,Natural Calm Magnesium
B00474CSVE,Green Mountain Dark Magic Extra Bold
B001E0TBA0,Natural Calm Magnesium
B001EO5Q64,Coconut oil
B006GA666U,Emeril's Big Easy Bold Coffee
B005IW4WFY,Kind Granola Oat Clusters
B006N3I29E,Green Mountain Breakfast Blend K-Cups
B008JKTTUA,Kind Protein Bars
B000OQ2DJQ,Natural Calm Magnesium Drink
B003D4IYSU,black tea
B000CNB4LE,Zico Coconut Water
B0034EDLS2,Kind Bars
B004E4CCSQ,Mio Liquid Peach Tea
B000UUWECC,coconut water
B002ZX1U9A,Gloria Jean's Hazelnut K-Cups
B003VXHGPK,Keurig coffee pods
B003FDC2I2,Orgain Nutritional Protein Shake
B007TJGZ4A,Gloria Jean's Hazelnut K-Cups
B000KV7ZGQ,tug-a-jug
B0034EDMCW,Kind Bars
B001VJ0B0I,Beneful dry dog food
B000NBQUNW,Benecol Smart Chews
B0081XPTBS,EB Organic Infant Formula
B005K4Q4KG,Grove Square Hot Chocolate
B00305L330,Click Protein Drink
B0029XDZKI,Gloria Jean's Hazelnut K-Cups
B004OAZ36I,K-Cup Flavored Coffee Sampler
B004TPKAN4,Newman's Own Organics Ginger Snaps
B001LGGH54,Switch Watermelon Strawberry Drink
B007PA32L2,Pumpkin Spice K-Cup Packs
B00125ZCWI,Natural Calm Magnesium
B000H7LVKY,Dried cherries
B000NMJWZO,Pamela's Gluten Free Baking Mix
B004EAGP74,Nutiva Coconut Oil
B004BKLHOS,Back to Nature Graham Crackers
B000FMZO8G,snapea crisps
B004SRFYMK,Zico Coconut Water
B007PA33NY,Emeril's Big Easy Bold Coffee
B005VOONI0,Marley Coffee One Love Pods
B000VK8AVK,Popchips
B0051COPH6,Organic Baby Food Pouch
B000ENUC3S,Larabar
B005HG9ESG,Essentia Water
B001EO5Y8Y,Green Mountain Dark Magic Extra Bold
B000VK08OC,manuka honey
B005V9UG18,Orgain Nutritional Protein Shake
B006N3I0DM,Emeril's Big Easy Bold Coffee
B003Z6ZGZK,Starbucks Via Instant Coffee
B001AS1A4Q,5 Hour Energy
B001BS4G6O,Greenies Pill Pockets
B008JKTH2A,Kind Protein Bars
B004FEN3GK,Honey Maid Graham Crackers
B005K4Q1RW,Caramel Apple Cider K-Cups
B003Z6W32E,Starbucks Via Instant Coffee
B008RWUHA6,Kind Granola Oat Clusters
B0012V1G0Y,Everlasting Treat Ball
B000OQ2DL4,Natural Calm Magnesium
B002AQ0OW6,Timothy's Decaf K-Cups
B003VXHGE6,Keurig coffee pods
B002QWHJOU,Greenies
B003D4MW38,black tea
B000BRR8VQ,Zuke's Training Treats
B005A1LJ04,Crystal Light Margarita Mocktail
B001RVFEP2,Popchips
B008J1HO4C,McCann's Steel Cut Irish Oatmeal
